Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-10 12:16:00+08:00,0.265,0.265,0.265,0.265,0,0,0
2020-06-10 12:20:00+08:00,0.265,0.265,0.265,0.265,700,0,0
2020-06-10 14:34:00+08:00,0.265,0.265,0.265,0.265,700,0,0
2020-06-10 14:48:00+08:00,0.265,0.265,0.265,0.265,700,0,0
2020-06-10 15:19:00+08:00,0.265,0.265,0.265,0.265,700,0,0
2020-06-10 15:44:00+08:00,0.265,0.265,0.265,0.265,20000,0,0
2020-06-10 15:50:00+08:00,0.265,0.265,0.265,0.265,700,0,0
2020-06-10 16:20:00+08:00,0.265,0.27,0.265,0.27,10700,0,0
2020-06-10 16:34:00+08:00,0.27,0.27,0.265,0.265,8700,0,0
2020-06-10 16:59:00+08:00,0.265,0.265,0.265,0.265,20000,0,0
